name,en_prod
CO_Cat320,-3798.92007040
CO_Cat321,-3956.04331818
CO_Cat322,-4427.42797550
CO_Cat323,-4113.15519750
CO_Cat324,-4099.67261233
CO_Cat325,-4571.08365127
CO_Cat326,-4413.97319078
CO_Cat327,-4579.76645754
CO_Cat328,-4565.27690104
CO_Cat329,-5023.07740398
CO_Cat330,-4962.04890325
CO_Cat331,-6403.16109544
CO_Cat332,-4722.42148178
CO_Cat334,-4722.42174220
CO_Cat335,-5480.82915506
CO_Cat336,-4866.06921016
CO_Cat337,-5023.22125469
CO_Cat338,-5262.83663957
CO_Cat339,-5023.19462525
CO_Cat340,-6703.95710170
CO_Cat341,-4722.41708123
CO_Cat342,-4879.54535997
CO_Cat343,-4113.17142295
CO_Cat344,-4427.43264478
CO_Cat345,-5023.06994461
CO_Cat346,-5023.21174529
CO_Cat347,-4879.56175853
CO_Cat348,-5119.18697801
CO_Cat349,-2958.54876218
CO_Cat350,-3115.67058629
CO_Cat351,-3587.05717874
CO_Cat352,-3272.77801022
CO_Cat353,-3259.30314868
CO_Cat354,-3730.69899622
CO_Cat355,-3573.60245633
CO_Cat356,-3739.39573070
CO_Cat357,-3724.90736207
CO_Cat358,-4182.70412137
CO_Cat359,-4121.67894616
CO_Cat360,-5562.79202972
CO_Cat361,-3882.04981922
CO_Cat362,-3882.03849946
CO_Cat363,-3882.04983563
CO_Cat364,-4640.37784366
CO_Cat365,-4025.69948277
CO_Cat366,-4182.84478446
CO_Cat367,-4422.46714605
CO_Cat368,-4182.84513957
CO_Cat369,-5863.58862697
CO_Cat370,-3882.05167106
CO_Cat371,-4039.18414724
CO_Cat372,-3272.80089646
CO_Cat373,-3587.06195468
CO_Cat374,-4182.69722310
CO_Cat375,-4182.84141464
CO_Cat376,-4039.19099952
CO_Cat377,-4278.81752845
CO_Cat378,-2958.54475115
CO_Cat379,-3115.65403395
CO_Cat380,-3587.04424918
CO_Cat381,-3272.76540828
CO_Cat382,-3259.29316748
CO_Cat383,-3730.70401337
CO_Cat384,-3573.57922851
CO_Cat385,-3739.37860800
CO_Cat386,-3724.89888010
CO_Cat387,-4182.69698402
CO_Cat388,-4121.67179099
CO_Cat389,-5562.78444778
CO_Cat390,-3882.04278718
CO_Cat391,-3882.01585637
CO_Cat392,-3882.04162076
CO_Cat394,-4025.70097427
CO_Cat395,-4182.84168489
CO_Cat396,-4422.46783552
CO_Cat397,-4182.83341608
CO_Cat398,-5863.58357999
CO_Cat399,-3882.03781252
CO_Cat401,-3272.78791075
CO_Cat402,-3587.05314220
CO_Cat404,-4182.84455572
CO_Cat405,-4039.18120742
CO_Cat406,-4278.80886770
CO_Cat407,-2958.54933539
CO_Cat408,-3115.67396835
CO_Cat409,-3587.05741052
CO_Cat410,-3272.78489177
CO_Cat411,-3259.30213230
CO_Cat412,-3730.70494786
CO_Cat413,-3573.60292537
CO_Cat414,-3739.39632381
CO_Cat415,-3724.90815783
CO_Cat416,-4182.70681136
CO_Cat417,-4121.68116158
CO_Cat418,-5562.79208509
CO_Cat419,-3882.05193907
CO_Cat421,-3882.04954012
