,name,en_react,en_prod,en_ts,f_barr,b_barr
73,CO_Cat075,-3878.19702542,-3878.20462189,-3878.18477667,7.68620698828,12.4530640797
74,CO_Cat076,-4035.33765801,-4035.34504735,-4035.32528825,7.76214191255,12.399022961500002
75,CO_Cat077,-4274.96254103,-4274.97047052,-4274.95051536,7.546222168410001,12.5220524739
76,CO_Cat078,-4035.34174856,-4035.35202888,-4035.33364925,5.082393968469999,11.533392431600001
77,CO_Cat079,-5716.07786802,-5716.08574545,-5716.0658508999995,7.5408569624199995,12.484019123
78,CO_Cat080,-3734.54496067,-3734.54254798,-3734.52802918,10.624670824099999,9.11068492868
79,CO_Cat081,-3891.68784132,-3891.68325089,-3891.66636396,13.477247435,10.5967090009
80,CO_Cat082,-3125.29916945,-3125.29637104,-3125.28108426,11.348628534300001,9.59259967427
81,CO_Cat083,-3439.55609141,-3439.55552249,-3439.54034165,9.883124022899999,9.52612131803
82,CO_Cat084,-4035.19891715,-4035.19385996,-4035.18196156,10.6397938029,7.466359034550001
83,CO_Cat085,-4035.35189721,-4035.35095456,-4035.33605342,9.942128740980001,9.350606910760002
84,CO_Cat086,-3891.69042665,-3891.684847,-3891.6719295999997,11.6070745969,8.10579121522
85,CO_Cat087,-4131.32547827,-4131.32034934,-4131.309987,9.72091909206,6.50246679225
86,CO_Cat088,-2653.92239555,-2653.91908734,-2653.9025066,12.4805050702,10.404571867000001
87,CO_Cat089,-2811.03599601,-2811.03744803,-2811.02084835,9.50530055271,10.416456897
88,CO_Cat090,-3282.41880111,-3282.42328131,-3282.40608805,7.977565923999999,10.788933985999998
89,CO_Cat091,-2968.12700261,-2968.13014877,-2968.11830579,5.457337169980001,7.4315824583
90,CO_Cat092,-2954.66874721,-2954.6744842,-2954.65309785,9.82012206906,13.4201377952
91,CO_Cat093,-3426.07711709,-3426.07649032,-3426.06271865,9.03515788499,8.64185375593
92,CO_Cat094,-3268.96574945,-3268.95857276,-3268.94745797,11.4780774692,6.974636315630001
93,CO_Cat095,-3434.74310172,-3434.74407262,-3434.72892619,8.8952797426,9.5045287162
94,CO_Cat096,-3420.27504778,-3420.27647128,-3420.26127853,8.64033518302,9.533594956189999
95,CO_Cat097,-3878.07200087,-3878.07429753,-3878.05846025,8.49686768601,9.93804365425
96,CO_Cat098,-3817.04609588,-3817.04838151,-3817.03299666,8.219884992419999,9.65413953102
97,CO_Cat099,-5258.15907799,-5258.1613751,-5258.14609965,8.1440316441,9.58548999205
98,CO_Cat100,-3577.41868511,-3577.41968873,-3577.40473249,8.755401599919999,9.38518268439
99,CO_Cat101,-3577.38480181,-3577.39179988,-3577.38308976,1.07432763957,5.4656830459500005
100,CO_Cat102,-3577.42100779,-3577.41479699,-3577.40747864,8.48967015197,4.59233414925
102,CO_Cat104,-3721.07512537,-3721.06940334,-3721.05843658,10.4723742685,6.8817460842
104,CO_Cat106,-4117.84112892,-4117.83933797,-4117.82802645,8.2219243987,7.09808625954
105,CO_Cat107,-3878.20423388,-3878.20319618,-3878.19621568,5.031496673,4.38033006464
107,CO_Cat109,-3577.41363105,-3577.40703951,-3577.39050601,14.5111822877,10.3749283181
108,CO_Cat110,-3734.53670051,-3734.53395916,-3734.51906761,11.0648122626,9.344589094660002
109,CO_Cat111,-2968.16312409,-2968.16735276,-2968.15031833,8.03573605471,10.6892666521
110,CO_Cat112,-3282.41964708,-3282.41744945,-3282.40567305,8.768836578060002,7.389802875610001
111,CO_Cat113,-3878.05816286,-3878.06840622,-3878.05107679,4.44657624253,10.8743819545
112,CO_Cat114,-3878.21398687,-3878.21983637,-3878.20176168,7.671422864439998,11.3420396846
113,CO_Cat115,-3734.55554621,-3734.55730841,-3734.54295283,7.902465587110001,9.00826282803
114,CO_Cat116,-3974.17740256,-3974.17742964,-3974.15990274,10.981303298299999,10.9982962556
115,CO_Cat117,-2647.16490624,-2647.16235105,-2647.14656417,11.509823174700001,9.906417175189999
116,CO_Cat118,-2804.28610643,-2804.27609907,-2804.26229295,14.943184928199999,8.663471458160002
117,CO_Cat119,-3275.67427215,-3275.66704608,-3275.65038186,14.9913839328,10.4569563602
118,CO_Cat120,-2961.39878749,-2961.39728218,-2961.38432568,9.07492316209,8.13032683659
119,CO_Cat121,-2947.93411695,-2947.93743932,-2947.9217341999997,7.770293260930001,9.855111998569999
120,CO_Cat122,-3419.34044309,-3419.34735173,-3419.33026636,6.3859947538,10.721231985800001
121,CO_Cat123,-3262.2393371,-3262.23424268,-3262.22131425,11.309509592000001,8.11271264515
122,CO_Cat124,-3427.99994364,-3428.00094658,-3427.98846331,7.204016138019999,7.8333705159700004
123,CO_Cat125,-3413.52283046,-3413.52212693,-3413.5074141000005,9.67391235543,9.23244059689
124,CO_Cat126,-3871.31870145,-3871.32100142,-3871.30448123,8.92332314207,10.3665761668
125,CO_Cat127,-3810.29499792,-3810.2948937,-3810.27960357,9.66010087129,9.5947018314
126,CO_Cat128,-5251.40663087,-5251.40695632,-5251.39054457,10.0943060699,10.2985290365
127,CO_Cat129,-3570.66669411,-3570.665856,-3570.65096047,9.87300856973,9.3470865826
128,CO_Cat130,-3570.6442422,-3570.64608309,-3570.62898336,9.57506705905,10.7302430225
129,CO_Cat131,-3570.66655922,-3570.66598577,-3570.65080752,9.8843413913,9.52449606849
130,CO_Cat132,-4329.07602259,-4329.07330362,-4329.0647746,7.05822058084,5.352041075390001
131,CO_Cat133,-3714.32804895,-3714.3372062,-3714.32712299,0.581048696417,6.32731006532
134,CO_Cat136,-3871.48057672,-3871.47991868,-3871.46221681,11.5210179442,11.1080915928
135,CO_Cat137,-5552.21493141,-5552.21274034,-5552.20177989,8.252703739480001,6.87778649947
136,CO_Cat138,-3570.65856063,-3570.66196358,-3570.64665364,7.47174934151,9.6071327944
137,CO_Cat139,-3727.78729846,-3727.7945185000003,-3727.77517642,7.6066952591699994,12.1373389495
138,CO_Cat140,-2961.41795211,-2961.41319952,-2961.39532836,14.1966180507,11.214322676099998
139,CO_Cat141,-3275.67734981,-3275.67245128,-3275.65461461,14.2665539845,11.1926798735
140,CO_Cat142,-3871.31172192,-3871.31112481,-3871.29874011,8.146209102150001,7.7715169046399994
141,CO_Cat144,-3727.79817823,-3727.803796,-3727.78773539,6.5529813069800005,10.078185351
142,CO_Cat145,-3967.4259164000005,-3967.42933704,-3967.40759938,11.494104061600002,13.6405881577
143,CO_Cat146,-2882.86988757,-2882.86641714,-2882.85082881,11.9595529582,9.78182516407
144,CO_Cat147,-3039.98456538,-3039.98894494,-3039.96858536,10.0276143601,12.775829865899999
145,CO_Cat148,-3511.37939384,-3511.37393493,-3511.35734068,13.838567404900001,10.4130495202
146,CO_Cat149,-3197.08849029,-3197.08886994,-3197.07469029,8.659631100110001,8.897865081789998
148,CO_Cat151,-3655.04653706,-3655.04256348,-3655.03100127,9.7488558149,7.2553966158300005
149,CO_Cat152,-3497.9404058,-3497.93708505,-3497.92121508,12.0423591119,9.95855693974
150,CO_Cat153,-3663.70452315,-3663.70914948,-3663.69101285,8.477841598,11.380907623199999
151,CO_Cat154,-3649.22672915,-3649.23386769,-3649.20957963,10.761486720599999,15.240988386500002
152,CO_Cat155,-4107.02478256,-4107.0228897,-4107.00997998,9.28875957446,8.10097194215
153,CO_Cat156,-4045.99893153,-4045.9968595,-4045.98502273,8.72790413365,7.427685624419999
154,CO_Cat157,-5487.11270391,-5487.11016268,-5487.09859133,8.85577801956,7.261132052789999
155,CO_Cat158,-3806.37060386,-3806.36852125,-3806.35645252,8.88010028767,7.573242727939999
156,CO_Cat159,-3806.32468402,-3806.3258626999996,-3806.3147956,6.205077490090001,6.94471038759
157,CO_Cat161,-4564.77089595,-4564.77021854,-4564.76293438,4.99596080971,4.5708795997600005
158,CO_Cat162,-3950.03537265,-3950.03623907,-3950.01982262,9.757791550419999,10.3014783314
159,CO_Cat163,-4107.17006374,-4107.18233737,-4107.16589671,2.61485091162,10.3166703361
160,CO_Cat164,-4346.81177729,-4346.81307093,-4346.79792486,8.69253142254,9.5043028126
161,CO_Cat166,-5787.91039382,-5787.92154326,-5787.90925438,0.715009424593,7.71138894473
162,CO_Cat167,-3806.36191261,-3806.35715506,-3806.34066665,13.3320417368,10.3466339149
163,CO_Cat168,-3963.5011999,-3963.5010629,-3963.48257884,11.6848920501,11.598923248599998
164,CO_Cat169,-3197.11736725,-3197.11240512,-3197.09600081,13.407644081099999,10.2938603659
165,CO_Cat170,-3511.37393572,-3511.37209093,-3511.35703414,10.6059020151,9.44827876452
167,CO_Cat172,-4107.17651535,-4107.18841747,-4107.17563357,0.55332532683,8.022018696860002
168,CO_Cat173,-3963.50047372,-3963.49809004,-3963.48355784,10.6148754011,9.11909355609
169,CO_Cat174,-4203.13214435,-4203.1378446,-4203.11897999,8.26076096129,11.837721988499998
170,CO_Cat175,-2804.31464674,-2804.31161643,-2804.29626005,11.537822648699999,9.636274335580001
171,CO_Cat176,-2961.43059427,-2961.42507712,-2961.41153655,11.9589003481,8.49683631029
172,CO_Cat177,-3432.81205673,-3432.81436375,-3432.79642321,9.81018231869,11.2578592854
173,CO_Cat178,-3118.5417133,-3118.53948394,-3118.52656516,9.50560175751,8.10665717859
174,CO_Cat179,-3105.08007595,-3105.07898125,-3105.06528364,9.282315051849999,8.59538040244
175,CO_Cat180,-3576.49036769,-3576.48999645,-3576.47818312,7.64593342844,7.412976801769999
176,CO_Cat181,-3419.38814983,-3419.38244762,-3419.36917355,11.9077959747,8.32960502871
177,CO_Cat182,-3585.15016304,-3585.14867193,-3585.13625875,8.72507406577,7.789388375389999
178,CO_Cat183,-3570.6651611,-3570.66401454,-3570.65235806,8.03402922895,7.3145519366
179,CO_Cat184,-4028.46490613,-4028.46365042,-4028.4518544,8.190084566669999,7.4021146122
180,CO_Cat185,-3967.43750953,-3967.43650699,-3967.42458144,8.112499291889998,7.48339591765
181,CO_Cat186,-5408.55942282,-5408.56258221,-5408.54739389,7.548267849430001,9.530815088819999
182,CO_Cat187,-3727.81021604,-3727.80886357,-3727.79744651,8.013001385399999,7.164313612060001
184,CO_Cat189,-3727.81142786,-3727.80966602,-3727.79889189,7.866440266739999,6.76086892914
185,CO_Cat190,-4486.21730718,-4486.21380642,-4486.20730164,6.27857140253,4.08181124534
186,CO_Cat191,-3871.47543488,-3871.47344066,-3871.45963978,9.91157530352,8.66018330834
187,CO_Cat192,-4028.6292169,-4028.62425523,-4028.61378786,9.68186917593,6.568374115169999
189,CO_Cat194,-4028.62169082,-4028.63220903,-4028.61611321,3.5000032621800004,10.1002799602
