name,en_ts
CO_Cat375,-4182.83556159
CO_Cat376,-4039.17593518
CO_Cat377,-4278.80240988
CO_Cat378,-2958.52892354
CO_Cat379,-3115.63905180
CO_Cat380,-3587.02630065
CO_Cat381,-3272.74955744
CO_Cat382,-3259.27903339
CO_Cat383,-3730.68515892
CO_Cat384,-3573.56775558
CO_Cat385,-3739.36122929
CO_Cat386,-3724.88763724
CO_Cat387,-4182.68538848
CO_Cat388,-4121.66025366
CO_Cat389,-5562.77260613
CO_Cat390,-3882.03136196
CO_Cat391,-3881.99890560
CO_Cat392,-3882.03257876
CO_Cat394,-4025.67451413
CO_Cat395,-4182.82767982
CO_Cat396,-4422.45321200
CO_Cat397,-4182.82135834
CO_Cat398,-5863.56923052
CO_Cat399,-3882.02237608
CO_Cat401,-3272.77025192
CO_Cat402,-3587.04058220
CO_Cat404,-4182.83128855
CO_Cat405,-4039.16739315
CO_Cat406,-4278.79317637
CO_Cat407,-2958.53467074
CO_Cat408,-3115.65749116
CO_Cat409,-3587.04129088
CO_Cat410,-3272.76863118
CO_Cat411,-3259.28643984
CO_Cat412,-3730.68585511
CO_Cat413,-3573.58658209
CO_Cat414,-3739.38049577
CO_Cat415,-3724.89717240
CO_Cat416,-4182.69381344
CO_Cat417,-4121.66826078
CO_Cat418,-5562.77785923
CO_Cat419,-3882.04060407
CO_Cat421,-3882.03609781
CO_Cat422,-4640.43898438
CO_Cat423,-4025.68166934
CO_Cat424,-4182.83290649
CO_Cat425,-4422.45884162
CO_Cat426,-4182.82721375
CO_Cat427,-5863.56546962
CO_Cat428,-3882.03187772
CO_Cat429,-4039.15836875
CO_Cat430,-3272.78561171
CO_Cat431,-3587.04557280
CO_Cat432,-4182.68457418
CO_Cat433,-4182.83500872
CO_Cat434,-4039.17618330
CO_Cat435,-4278.80264540
CO_Cat436,-3337.74501204
CO_Cat437,-3494.86330478
CO_Cat438,-3966.25039579
CO_Cat439,-3651.97186638
CO_Cat440,-3638.48522725
CO_Cat441,-4109.89869130
CO_Cat442,-3952.78770971
CO_Cat443,-4118.58326938
CO_Cat444,-4104.10081245
CO_Cat445,-4561.89442685
CO_Cat446,-4500.87257014
CO_Cat447,-5941.98686825
CO_Cat448,-4261.24115595
CO_Cat449,-4261.21431749
CO_Cat452,-4404.87964913
CO_Cat453,-4562.01816273
CO_Cat454,-4801.64566510
CO_Cat455,-4562.02870823
CO_Cat456,-6242.76297319
CO_Cat457,-4261.24342216
CO_Cat459,-3651.99408148
CO_Cat460,-3966.25701498
CO_Cat462,-4562.03984208
CO_Cat465,-3030.35142547
CO_Cat466,-3187.46873305
CO_Cat467,-3658.86001773
CO_Cat468,-3344.59576227
CO_Cat469,-3331.11447259
CO_Cat470,-3802.52893291
CO_Cat471,-3645.42244288
CO_Cat472,-3811.20511758
CO_Cat473,-3796.70793647
CO_Cat474,-4254.50414836
CO_Cat475,-4193.48034879
CO_Cat476,-5634.59242409
CO_Cat477,-3953.85243854
CO_Cat478,-3953.84486203
CO_Cat479,-3953.85173144
CO_Cat480,-4712.26525804
CO_Cat481,-4097.51321117
CO_Cat482,-4254.64834365
CO_Cat483,-4494.27381658
CO_Cat484,-4254.66557980
CO_Cat485,-5935.39345965
CO_Cat486,-3953.84278222
CO_Cat487,-4110.98596710
CO_Cat488,-3344.59864402
CO_Cat489,-3658.85634630
CO_Cat490,-4254.49699679
CO_Cat491,-4254.65417230
CO_Cat492,-4110.98780355
CO_Cat493,-4350.61195934
CO_Cat494,-3108.92123819
CO_Cat495,-3266.03848874
CO_Cat496,-3737.42649590
CO_Cat497,-3423.16570266
CO_Cat498,-3409.69252888
CO_Cat499,-3881.09807064
CO_Cat500,-3723.99219196
CO_Cat501,-3889.77183451
CO_Cat502,-3875.27784626
CO_Cat503,-4333.08546699
CO_Cat504,-4272.05055807
CO_Cat505,-5713.16705492
CO_Cat506,-4032.41947723
CO_Cat507,-4032.41817069
CO_Cat508,-4032.42267690
CO_Cat509,-4790.75297070
CO_Cat510,-4176.09294604
CO_Cat511,-4333.22310787
CO_Cat512,-4572.85384541
CO_Cat513,-4333.23136364
CO_Cat514,-6013.96896493
CO_Cat515,-4032.41279882
CO_Cat516,-4189.56113422
CO_Cat517,-3423.16856663
CO_Cat518,-3737.43695055
CO_Cat519,-4333.07009029
CO_Cat520,-4333.23221978
CO_Cat521,-4189.55581663
CO_Cat523,-3228.73423092
CO_Cat524,-3385.85143626
CO_Cat525,-3857.23952100
CO_Cat526,-3542.97801385
CO_Cat527,-3529.50022368
CO_Cat528,-4000.90992139
CO_Cat529,-3843.80834470
CO_Cat530,-4009.58408786
CO_Cat531,-3995.09397106
CO_Cat532,-4452.89411929
CO_Cat533,-4391.86286955
CO_Cat534,-5832.98294147
CO_Cat535,-4152.23645991
CO_Cat536,-4152.23101469
CO_Cat537,-4152.24289028
CO_Cat538,-4910.65589183
CO_Cat539,-4295.90057294
CO_Cat540,-4453.04093840
CO_Cat541,-4692.66615453
CO_Cat542,-4453.04725221
CO_Cat543,-6133.78151797
CO_Cat544,-4152.22591460
CO_Cat545,-4309.37329498
CO_Cat546,-3542.98148527
CO_Cat547,-3857.24082997
CO_Cat548,-4452.88067769
CO_Cat549,-4453.04510447
CO_Cat550,-4309.37113185
CO_Cat552,-3108.92221141
CO_Cat553,-3266.04015428
CO_Cat554,-3737.43481801
CO_Cat555,-3423.15452655
CO_Cat556,-3409.68974696
CO_Cat557,-3881.09796754
CO_Cat558,-3723.99153534
CO_Cat559,-3889.77494513
CO_Cat560,-3875.28539802
CO_Cat561,-4333.08844998
CO_Cat562,-4272.05818727
CO_Cat563,-5713.17022902
CO_Cat564,-4032.42970334
CO_Cat565,-4032.41022448
CO_Cat566,-4032.42996078
CO_Cat567,-4790.84299557
CO_Cat568,-4176.09328644
CO_Cat569,-4333.23352541
CO_Cat570,-4572.85947489
CO_Cat571,-4333.23863111
CO_Cat572,-6013.96752223
CO_Cat573,-4032.41769199
CO_Cat574,-4189.55717189
CO_Cat575,-3423.16994603
CO_Cat576,-3737.43017604
CO_Cat577,-4333.07190582
CO_Cat578,-4333.23667936
CO_Cat579,-4189.56191895
CO_Cat580,-4429.18989845
CO_Cat581,-3949.29170542
CO_Cat582,-4106.40909843
CO_Cat583,-4577.79634720
CO_Cat584,-4263.53717037
CO_Cat585,-4250.06369581
CO_Cat586,-4721.47747935
CO_Cat587,-4564.36115960
CO_Cat588,-4730.14336921
CO_Cat589,-4715.64941249
CO_Cat590,-5173.44597013
CO_Cat591,-5112.42110113
CO_Cat592,-6553.53301932
CO_Cat593,-4872.80152685
CO_Cat594,-4872.78959334
CO_Cat595,-4872.79854640
CO_Cat596,-5631.20895504
CO_Cat597,-5016.44897934
CO_Cat598,-5173.59067312
CO_Cat599,-5413.21929093
CO_Cat601,-6854.33872817
CO_Cat602,-4872.78395925
CO_Cat603,-5029.93155743
CO_Cat604,-4263.53913801
CO_Cat605,-4577.80747039
CO_Cat606,-5173.44208299
CO_Cat607,-5173.60304487
CO_Cat608,-5029.93002565
CO_Cat610,-2958.53319032
CO_Cat611,-3115.65522675
CO_Cat612,-3587.03988688
CO_Cat613,-3272.76040928
CO_Cat614,-3259.28218744
CO_Cat615,-3730.68414091
CO_Cat616,-3573.57839385
CO_Cat617,-3739.37301561
CO_Cat618,-3724.89142134
CO_Cat619,-4182.68687530
CO_Cat620,-4121.66414879
CO_Cat621,-5562.77409929
CO_Cat622,-3882.03658882
CO_Cat623,-3882.01655795
CO_Cat624,-3882.03721975
CO_Cat625,-4640.44809728
CO_Cat626,-4025.66489154
CO_Cat627,-4182.80628054
CO_Cat628,-4422.43066574
CO_Cat629,-4182.83144688
CO_Cat630,-5863.54604808
CO_Cat631,-3882.01957392
CO_Cat632,-4039.16126811
CO_Cat633,-3272.78440167
CO_Cat634,-3587.04276931
CO_Cat635,-4182.68172043
CO_Cat636,-4182.83151680
CO_Cat637,-4039.17529045
CO_Cat638,-4278.79577256
CO_Cat639,-3037.10046918
CO_Cat640,-3194.21657331
CO_Cat641,-3665.60392350
CO_Cat642,-3351.33612660
CO_Cat643,-3337.85304782
CO_Cat644,-3809.25656127
CO_Cat645,-3652.14714732
CO_Cat646,-3817.93877690
