name,en_prod
Rh_Cat484,-2982.74184890
Rh_Cat485,-4663.46016406
Rh_Cat486,-2681.93395587
Rh_Cat487,-2839.07098651
Rh_Cat488,-2072.68338846
Rh_Cat489,-2386.94167173
Rh_Cat48,-2767.33795902
Rh_Cat490,-2982.56217731
Rh_Cat491,-2982.73732448
Rh_Cat492,-2839.06560517
Rh_Cat493,-3078.70149878
Rh_Cat494,-1837.00384748
Rh_Cat495,-1994.11885259
Rh_Cat496,-2465.50499975
Rh_Cat497,-2151.24533703
Rh_Cat498,-2137.76195815
Rh_Cat499,-2609.17108628
Rh_Cat49,-2527.71927191
Rh_Cat4,-1539.09525214
Rh_Cat500,-2452.07351244
Rh_Cat501,-2617.84931448
Rh_Cat502,-2603.35547916
Rh_Cat503,-3061.15161086
Rh_Cat504,-3000.12805577
Rh_Cat505,-4441.24025948
Rh_Cat506,-2760.50684982
Rh_Cat507,-2760.48249157
Rh_Cat508,-2760.49523977
Rh_Cat509,-3518.81792108
Rh_Cat50,-4208.45107691
Rh_Cat510,-2904.15003986
Rh_Cat511,-3061.29070532
Rh_Cat512,-3300.91600318
Rh_Cat513,-3061.30669154
Rh_Cat514,-4742.03161053
Rh_Cat515,-2760.49360065
Rh_Cat516,-2917.64693307
Rh_Cat517,-2151.25451900
Rh_Cat518,-2465.51480933
Rh_Cat519,-3061.14007563
Rh_Cat51,-2226.92221053
Rh_Cat520,-3061.30221386
Rh_Cat521,-2917.63910675
Rh_Cat523,-1956.81637333
Rh_Cat524,-2113.93108876
Rh_Cat525,-2585.31504754
Rh_Cat526,-2271.05752217
Rh_Cat527,-2257.57347683
Rh_Cat528,-2728.98420322
Rh_Cat529,-2571.88184388
Rh_Cat52,-2384.05533291
Rh_Cat530,-2737.66818382
Rh_Cat531,-2723.16884088
Rh_Cat532,-3180.96954027
Rh_Cat533,-3119.92912380
Rh_Cat534,-4561.05268888
Rh_Cat535,-2880.31388467
Rh_Cat536,-2880.29516154
Rh_Cat537,-2880.31258774
Rh_Cat538,-3638.73015393
Rh_Cat539,-3023.96311563
Rh_Cat53,-1617.66965524
Rh_Cat540,-3181.10357386
Rh_Cat541,-3420.72840562
Rh_Cat542,-3181.11255837
Rh_Cat543,-4861.84366721
Rh_Cat544,-2880.30641370
Rh_Cat545,-3037.46093808
Rh_Cat546,-2271.06545236
Rh_Cat547,-2585.32702308
Rh_Cat548,-3180.94942841
Rh_Cat549,-3181.11865530
Rh_Cat54,-1931.92878618
Rh_Cat550,-3037.45170829
Rh_Cat551,-3277.08938489
Rh_Cat552,-1837.00536601
Rh_Cat553,-1994.12619416
Rh_Cat554,-2465.51902987
Rh_Cat555,-2151.24466381
Rh_Cat556,-2137.76739878
Rh_Cat557,-2609.17873874
Rh_Cat558,-2452.07662732
Rh_Cat559,-2617.85219986
Rh_Cat55,-2527.56118875
Rh_Cat560,-2603.36566413
Rh_Cat561,-3061.16181382
Rh_Cat562,-3000.13786728
Rh_Cat563,-4441.24921334
Rh_Cat564,-2760.51041861
Rh_Cat565,-2760.48189510
Rh_Cat566,-2760.51554149
Rh_Cat567,-3518.92484918
Rh_Cat568,-2904.16081142
Rh_Cat569,-3061.30180616
Rh_Cat56,-2527.71863463
Rh_Cat570,-3300.92717891
Rh_Cat572,-4742.04253229
Rh_Cat573,-2760.50912927
Rh_Cat574,-2917.64359306
Rh_Cat575,-2151.25714070
Rh_Cat576,-2465.51088000
Rh_Cat577,-3061.14706403
Rh_Cat578,-3061.31149898
Rh_Cat579,-2917.64663056
Rh_Cat57,-2384.06414025
Rh_Cat580,-3157.27410370
Rh_Cat581,-2677.37404115
Rh_Cat582,-2834.48849723
Rh_Cat583,-3305.87965228
Rh_Cat584,-2991.61631452
Rh_Cat585,-2978.13666792
Rh_Cat586,-3449.54805925
Rh_Cat587,-3292.44038599
Rh_Cat588,-3458.22041713
Rh_Cat589,-3443.73067274
Rh_Cat58,-2623.67804236
Rh_Cat590,-3901.52778552
Rh_Cat591,-3840.50260984
Rh_Cat592,-5281.61458785
Rh_Cat593,-3600.87205757
Rh_Cat594,-3600.85397285
Rh_Cat595,-3600.86991165
Rh_Cat596,-4359.27659864
Rh_Cat597,-3744.52023312
Rh_Cat598,-3901.66121610
Rh_Cat599,-4141.29811113
Rh_Cat59,-1539.11206284
Rh_Cat5,-1525.61382997
Rh_Cat600,-3901.67093283
Rh_Cat601,-5582.40104024
Rh_Cat602,-3600.86860510
Rh_Cat603,-3758.01835724
Rh_Cat604,-2991.62465607
Rh_Cat605,-3305.88504401
Rh_Cat606,-3901.51268970
Rh_Cat607,-3901.67992741
Rh_Cat608,-3758.00997782
Rh_Cat60,-1696.23095374
Rh_Cat610,-1686.61122206
Rh_Cat611,-1843.73415467
Rh_Cat612,-2315.12094329
Rh_Cat613,-2000.83535374
Rh_Cat614,-1987.35906805
Rh_Cat615,-2458.77536506
Rh_Cat616,-2301.65914919
Rh_Cat617,-2467.45113141
Rh_Cat618,-2452.96852540
Rh_Cat619,-2910.76295782
Rh_Cat61,-2167.61670491
Rh_Cat620,-2849.73559631
Rh_Cat621,-4290.85657847
Rh_Cat622,-2610.11641754
Rh_Cat623,-2610.09627902
Rh_Cat624,-2610.11698973
Rh_Cat625,-3368.53097583
Rh_Cat626,-2753.76138978
Rh_Cat627,-2910.90135981
